Micro;C1;C2;C3;Promedio
0;18;25;30;24.33333333
20;31;33;22;28.66666667
40;33;24;27;28
60;33;29;25;29
80;33;35;34;34
100;40;32;36;36
120;40;35;39;38
140;42;46;41;43
160;55;39;40;44.66666667
180;53;46;42;47
200;49;45;50;48
220;49;53;50;50.66666667
240;59;52;53;54.66666667
260;54;59;53;55.33333333
280;54;59;57;56.66666667
300;54;59;55;56
320;53;51;57;53.66666667
340;50;47;61;52.66666667
360;54;50;51;51.66666667
380;57;45;52;51.33333333
400;51;43;54;49.33333333
420;41;50;48;46.33333333
440;44;50;43;45.66666667
460;41;42;46;43
480;37;38;46;40.33333333
500;40;33;40;37.66666667
520;30;34;40;34.66666667
540;34;28;38;33.33333333
560;38;34;27;33
580;28;32;36;32
600;31;31;32;31.33333333
620;35;34;32;33.66666667
640;30;39;35;34.66666667
660;35;36;39;36.66666667
680;36;36;39;37
700;36;41;38;38.33333333
720;38;39;46;41
740;40;48;40;42.66666667
760;47;48;40;45
780;54;52;50;52
800;48;52;53;51
820;51;53;58;54
840;55;57;63;58.33333333
860;58;58;63;59.66666667
880;57;63;65;61.66666667
900;62;74;62;66
920;62;72;56;63.33333333
940;63;61;65;63
960;60;51;57;56
980;60;61;60;60.33333333
1000;57;53;52;54
1020;53;54;45;50.66666667
1040;48;57;46;50.33333333
1060;47;40;45;44
1080;35;37;43;38.33333333
1100;37;43;35;38.33333333
1120;33;37;39;36.33333333
1140;36;38;40;38
1160;36;41;39;38.66666667
1180;39;41;37;39
1200;47;41;38;42
1220;44;40;43;42.33333333
1240;45;44;42;43.66666667
1260;44;48;43;45
1280;50;45;43;46
1300;48;50;45;47.66666667
1320;53;54;48;51.66666667
1340;58;53;55;55.33333333
1360;59;50;57;55.33333333
1380;60;62;57;59.66666667
1400;60;65;60;61.66666667
1420;64;56;73;64.33333333
1440;67;60;73;66.66666667
1460;60;64;62;62
1480;57;62;60;59.66666667
1500;56;64;57;59
1520;57;58;53;56
1540;56;57;55;56
1560;53;48;51;50.66666667
1580;48;54;47;49.66666667
1600;51;42;44;45.66666667
1620;44;44;47;45
1640;40;47;39;42
1660;40;43;42;41.66666667
1680;37;44;41;40.66666667
1700;39;33;42;38
1720;35;37;38;36.66666667
1740;35;36;31;34
1760;37;34;38;36.33333333
1780;38;39;37;38
1800;42;40;38;40
1820;39;40;42;40.33333333
1840;40;46;43;43
1860;47;45;42;44.66666667
1880;54;47;48;49.66666667
1900;52;45;62;53
1920;58;59;55;57.33333333
1940;58;62;57;59
1960;58;61;58;59
1980;62;59;58;59.66666667
2000;59;62;59;60
2020;57;58;63;59.33333333
2040;58;56;63;59
2060;55;54;53;54
2080;51;56;49;52
2100;55;47;48;50
2120;45;48;42;45
2140;41;47;41;43
2160;35;40;39;38
2180;40;38;34;37.33333333
2200;32;38;35;35
2220;35;29;34;32.66666667
2240;30;32;34;32
2260;36;31;32;33
2280;35;29;33;32.33333333
2300;34;25;32;30.33333333
2320;32;33;30;31.66666667
2340;32;29;34;31.66666667
2360;38;33;35;35.33333333
2380;38;33;37;36
2400;38;37;35;36.66666667
2420;37;38;42;39
2440;39;40;39;39.33333333
2460;46;38;37;40.33333333
2480;38;40;45;41
2500;48;43;35;42
2520;39;46;48;44.33333333
2540;47;45;41;44.33333333
2560;46;45;45;45.33333333
2580;45;47;46;46
2600;45;52;44;47
2620;45;43;44;44
2640;39;41;40;40
2660;38;37;42;39
2680;35;38;40;37.66666667
2700;37;40;35;37.33333333
2720;34;38;31;34.33333333
2740;32;34;27;31
2760;30;31;29;30
2780;24;27;31;27.33333333
