micrometro;Voltaje
0;0.024
100;0.027
200;0.03
300;0.033
400;0.036
500;0.039
600;0.043
700;0.047
800;0.051
900;0.056
1000;0.06
1100;0.065
1200;0.07
1300;0.075
1400;0.081
1500;0.086
1600;0.093
1700;0.098
1800;0.104
1900;0.11
2000;0.115
2100;0.121
2200;0.127
2300;0.133
2400;0.138
2500;0.143
2600;0.148
2700;0.152
2800;0.156
2900;0.16
3000;0.164
3100;0.167
3200;0.169
3300;0.171
3400;0.173
3500;0.174
3600;0.175
3700;0.175
3800;0.175
3900;0.174
4000;0.172
4100;0.171
4200;0.169
4300;0.166
4400;0.163
4500;0.159
4600;0.155
4700;0.151
4800;0.146
4900;0.141
5000;0.135
5100;0.128
5200;0.121
5300;0.113
5400;0.105
5500;0.099
5600;0.093
5700;0.086
5800;0.08
5900;0.074
6000;0.068
6100;0.063
6200;0.058
6300;0.053
6400;0.049
6500;0.045
6600;0.041
6700;0.038
6800;0.035
6900;0.034
7000;0.034
