Micrometro;Voltaje
0;0.008
100;0.009
200;0.009
300;0.011
400;0.012
500;0.013
600;0.015
700;0.017
800;0.019
900;0.021
1000;0.023
1100;0.026
1200;0.03
1300;0.034
1400;0.037
1500;0.04
1600;0.043
1700;0.046
1800;0.049
1900;0.052
2000;0.056
2100;0.061
2200;0.067
2300;0.072
2400;0.076
2500;0.079
2600;0.082
2700;0.086
2800;0.09
2900;0.094
3000;0.099
3100;0.104
3200;0.108
3300;0.112
3400;0.115
3500;0.117
3600;0.119
3700;0.121
3800;0.124
3900;0.126
4000;0.129
4100;0.131
4200;0.132
4300;0.132
4400;0.132
4500;0.131
4600;0.13
4700;0.129
4800;0.128
4900;0.127
5000;0.125
5100;0.122
5200;0.119
5300;0.116
5400;0.112
5500;0.108
5600;0.104
5700;0.1
5800;0.096
5900;0.092
6000;0.089
6100;0.084
6200;0.08
6300;0.076
6400;0.071
6500;0.067
6600;0.063
6700;0.059
6800;0.055
6900;0.051
7000;0.047
7100;0.043
7200;0.039
7300;0.035
7400;0.032
7500;0.029
7600;0.026
7700;0.024
7800;0.021
7900;0.02
8000;0.018
8100;0.016
8200;0.015
8300;0.014
8400;0.014
